direction,modern_section,modern_title,legacy_section,legacy_title,score,reason
companies_2013_to_1956,126,"Right to dividend, rights shares and bonus shares to be held in abeyance pending registration",206A,"RIGHT TO DIVIDEND, RIGHTS SHARES AND BONUS SHARES TO BE HELD IN ABEYANCE PENDING",9.625,"shared_keywords=['abeyance', 'bonus', 'dividend', 'held', 'right', 'rights', 'shares']; title_jaccard=0.88"
companies_1956_to_2013,126,"Right to dividend, rights shares and bonus shares to be held in abeyance pending registration",206A,"RIGHT TO DIVIDEND, RIGHTS SHARES AND BONUS SHARES TO BE HELD IN ABEYANCE PENDING",9.625,"shared_keywords=['abeyance', 'bonus', 'dividend', 'held', 'right', 'rights', 'shares']; title_jaccard=0.88"
companies_2013_to_1956,50,"Company to accept unpaid share capital, although not called up. —(1) A company may, if so",92,"POWER OF COMPANY TO ACCEPT UNPAID SHARE CAPITAL, ALTHOUGH NOT CALLED UP",9.000,"shared_keywords=['accept', 'although', 'called', 'capital', 'share', 'unpaid']; title_jaccard=1.00"
companies_1956_to_2013,50,"Company to accept unpaid share capital, although not called up. —(1) A company may, if so",92,"POWER OF COMPANY TO ACCEPT UNPAID SHARE CAPITAL, ALTHOUGH NOT CALLED UP",9.000,"shared_keywords=['accept', 'although', 'called', 'capital', 'share', 'unpaid']; title_jaccard=1.00"
companies_2013_to_1956,127,Punishment for failure to distribute dividends. —Where a dividend has been declared by a,207,Penalty for failure to distribute dividends within forty-two day . - Where a dividend has been declared by a,7.800,"shared_keywords=['been', 'declared', 'distribute', 'dividend', 'dividends', 'failure']; title_jaccard=0.60"
companies_1956_to_2013,127,Punishment for failure to distribute dividends. —Where a dividend has been declared by a,207,Penalty for failure to distribute dividends within forty-two day . - Where a dividend has been declared by a,7.800,"shared_keywords=['been', 'declared', 'distribute', 'dividend', 'dividends', 'failure']; title_jaccard=0.60"
companies_2013_to_1956,15,Alteration of memorandum or articles to be noted in every copy.—(1) Every alteration made in,40,"ALTERATION OF MEMORANDUM OR ARTICLES, ETC., TO BE NOTED IN EVERY COPY",7.500,"shared_keywords=['alteration', 'articles', 'copy', 'memorandum', 'noted']; title_jaccard=0.83"
companies_1956_to_2013,15,Alteration of memorandum or articles to be noted in every copy.—(1) Every alteration made in,40,"ALTERATION OF MEMORANDUM OR ARTICLES, ETC., TO BE NOTED IN EVERY COPY",7.500,"shared_keywords=['alteration', 'articles', 'copy', 'memorandum', 'noted']; title_jaccard=0.83"
companies_2013_to_1956,51,"Payment of dividend in proportion to amount paid-up.—A company may, if so authorised by",93,PAYMENT OF DIVIDEND IN PROPORTION TO AMOUNT PAID-UP,7.500,"shared_keywords=['amount', 'dividend', 'paid', 'payment', 'proportion']; title_jaccard=0.83"
companies_1956_to_2013,51,"Payment of dividend in proportion to amount paid-up.—A company may, if so authorised by",93,PAYMENT OF DIVIDEND IN PROPORTION TO AMOUNT PAID-UP,7.500,"shared_keywords=['amount', 'dividend', 'paid', 'payment', 'proportion']; title_jaccard=0.83"
companies_2013_to_1956,52,Application of premiums received on issue of shares.—(1) Where a company issues shares at a,78,APPLICATION OF PREMIUMS RECEIVED ON ISSUE OF SHARES,7.500,"shared_keywords=['application', 'issue', 'premiums', 'received', 'shares']; title_jaccard=0.83"
companies_1956_to_2013,52,Application of premiums received on issue of shares.—(1) Where a company issues shares at a,78,APPLICATION OF PREMIUMS RECEIVED ON ISSUE OF SHARES,7.500,"shared_keywords=['application', 'issue', 'premiums', 'received', 'shares']; title_jaccard=0.83"
companies_2013_to_1956,60,"Publication of authorised, subscribed and paid -up capital. —(1) Where any notice,",148,PUBLICATION OF AUTHORISED AS WELL AS SUBSCRIBED AND PAID-UP CAPITAL,7.143,"shared_keywords=['authorised', 'capital', 'paid', 'publication', 'subscribed']; title_jaccard=0.71"
companies_1956_to_2013,60,"Publication of authorised, subscribed and paid -up capital. —(1) Where any notice,",148,PUBLICATION OF AUTHORISED AS WELL AS SUBSCRIBED AND PAID-UP CAPITAL,7.143,"shared_keywords=['authorised', 'capital', 'paid', 'publication', 'subscribed']; title_jaccard=0.71"
companies_2013_to_1956,94,"Place of keeping and inspection of registers, returns, etc.—(1) The registers required to be kept and",163,"PLACE OF KEEPING, AND INSPECTION OF, REGISTERS AND RETURNS",7.143,"shared_keywords=['inspection', 'keeping', 'place', 'registers', 'returns']; title_jaccard=0.71"
companies_1956_to_2013,94,"Place of keeping and inspection of registers, returns, etc.—(1) The registers required to be kept and",163,"PLACE OF KEEPING, AND INSPECTION OF, REGISTERS AND RETURNS",7.143,"shared_keywords=['inspection', 'keeping', 'place', 'registers', 'returns']; title_jaccard=0.71"
companies_2013_to_1956,36,"Punishment for fraudulently inducing persons to invest money. —Any person who, either",68,PENALTY FOR FRAUDULENTLY INDUCING PERSONS TO INVEST MONEY,6.875,"shared_keywords=['fraudulently', 'inducing', 'invest', 'money', 'persons']; title_jaccard=0.62"
companies_1956_to_2013,36,"Punishment for fraudulently inducing persons to invest money. —Any person who, either",68,PENALTY FOR FRAUDULENTLY INDUCING PERSONS TO INVEST MONEY,6.875,"shared_keywords=['fraudulently', 'inducing', 'invest', 'money', 'persons']; title_jaccard=0.62"
companies_2013_to_1956,65,Unlimited company to provide for reserve share capital on conversion into limited,98,POWER OF UNLIMITED COMPANY TO PROVIDE FOR RESERVE SHARE CAPITAL ON RE-REGISTRATION,6.667,"shared_keywords=['capital', 'provide', 'reserve', 'share', 'unlimited']; title_jaccard=0.56"
companies_1956_to_2013,65,Unlimited company to provide for reserve share capital on conversion into limited,98,POWER OF UNLIMITED COMPANY TO PROVIDE FOR RESERVE SHARE CAPITAL ON RE-REGISTRATION,6.667,"shared_keywords=['capital', 'provide', 'reserve', 'share', 'unlimited']; title_jaccard=0.56"
companies_2013_to_1956,61,Power of limited company to alter its share capital.—(1) A limited company having a share,94,POWER OF LIMITED COMPANY TO ALTER ITS SHARE CAPITAL,6.400,"shared_keywords=['alter', 'capital', 'limited', 'share']; title_jaccard=0.80"
companies_1956_to_2013,61,Power of limited company to alter its share capital.—(1) A limited company having a share,94,POWER OF LIMITED COMPANY TO ALTER ITS SHARE CAPITAL,6.400,"shared_keywords=['alter', 'capital', 'limited', 'share']; title_jaccard=0.80"
companies_2013_to_1956,81,"Register of charges to be kept by Registrar. —(1) The Registrar shall, in respect of every",130,REGISTER OF CHARGES TO BE KEPT BY REGISTRAR,6.400,"shared_keywords=['charges', 'kept', 'register', 'registrar']; title_jaccard=0.80"
companies_1956_to_2013,81,"Register of charges to be kept by Registrar. —(1) The Registrar shall, in respect of every",130,REGISTER OF CHARGES TO BE KEPT BY REGISTRAR,6.400,"shared_keywords=['charges', 'kept', 'register', 'registrar']; title_jaccard=0.80"
companies_2013_to_1956,112,Representation of President and Governors in meetings. —(1) The President of India or the,187A,REPRESENTATION OF THE PRESIDENT AND GOVERNORS IN MEETINGS OF COMPANIES OF WHICH,6.400,"shared_keywords=['governors', 'meetings', 'president', 'representation']; title_jaccard=0.80"
companies_1956_to_2013,112,Representation of President and Governors in meetings. —(1) The President of India or the,187A,REPRESENTATION OF THE PRESIDENT AND GOVERNORS IN MEETINGS OF COMPANIES OF WHICH,6.400,"shared_keywords=['governors', 'meetings', 'president', 'representation']; title_jaccard=0.80"
companies_2013_to_1956,34,"Criminal liability for mis-statements in prospectus.—Where a prospectus, issued, circulated or",63,CRIMINAL LIABILITY FOR MIS-STATEMENTS IN PROSPECTUS,6.000,"shared_keywords=['criminal', 'liability', 'prospectus', 'statements']; title_jaccard=0.67"
companies_1956_to_2013,34,"Criminal liability for mis-statements in prospectus.—Where a prospectus, issued, circulated or",63,CRIMINAL LIABILITY FOR MIS-STATEMENTS IN PROSPECTUS,6.000,"shared_keywords=['criminal', 'liability', 'prospectus', 'statements']; title_jaccard=0.67"
companies_2013_to_1956,35,Civil liability for mis-statements in prospectus.—(1) Where a person has subscribed for securities,62,CIVIL LIABILITY FOR MIS-STATEMENTS IN PROSPECTUS,6.000,"shared_keywords=['civil', 'liability', 'prospectus', 'statements']; title_jaccard=0.67"
companies_1956_to_2013,35,Civil liability for mis-statements in prospectus.—(1) Where a person has subscribed for securities,62,CIVIL LIABILITY FOR MIS-STATEMENTS IN PROSPECTUS,6.000,"shared_keywords=['civil', 'liability', 'prospectus', 'statements']; title_jaccard=0.67"
companies_2013_to_1956,70,Prohibition for buy-back in certain circumstances.—(1) No company shall directly or indirectly,77B,PROHIBITION FOR BUY-BACK IN CERTAIN CIRCUMSTANCES,6.000,"shared_keywords=['back', 'certain', 'circumstances', 'prohibition']; title_jaccard=0.67"
companies_1956_to_2013,70,Prohibition for buy-back in certain circumstances.—(1) No company shall directly or indirectly,77B,PROHIBITION FOR BUY-BACK IN CERTAIN CIRCUMSTANCES,6.000,"shared_keywords=['back', 'certain', 'circumstances', 'prohibition']; title_jaccard=0.67"
companies_2013_to_1956,115,"Resolutions requiring special notice.—Where, by any provision contained in this Act or in the",190,RESOLUTIONS REQUIRING SPECIAL NOTICE,6.000,"shared_keywords=['notice', 'requiring', 'resolutions', 'special']; title_jaccard=0.67"
companies_1956_to_2013,115,"Resolutions requiring special notice.—Where, by any provision contained in this Act or in the",190,RESOLUTIONS REQUIRING SPECIAL NOTICE,6.000,"shared_keywords=['notice', 'requiring', 'resolutions', 'special']; title_jaccard=0.67"
companies_2013_to_1956,54,"Issue of sweat equity shares.—(1) Notwithstanding anything contained in section 53, a company",79A,ISSUE OF SWEAT EQUITY SHARES,5.714,"shared_keywords=['equity', 'issue', 'shares', 'sweat']; title_jaccard=0.57"
companies_1956_to_2013,54,"Issue of sweat equity shares.—(1) Notwithstanding anything contained in section 53, a company",79A,ISSUE OF SWEAT EQUITY SHARES,5.714,"shared_keywords=['equity', 'issue', 'shares', 'sweat']; title_jaccard=0.57"
companies_2013_to_1956,118,"Minutes of proceedings of general meeting, meeting of Board of Directors and other meeting",193,MINUTES OF PROCEEDINGS OF GENERAL MEETINGS AND OF BOARD AND OTHER MEETINGS,5.714,"shared_keywords=['board', 'general', 'minutes', 'proceedings']; title_jaccard=0.57"
